,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
279,West Bengal,2008,01. Rape,767,177,1693,2,138,6,1870,1,1456,1070,9809,9023,2263,1693,905,0,0,10716,1351,29,1790,1664,148,1057,1099,10887,84,1499,10751,12415
280,Andaman & Nicobar Islands,2009,01. Rape,2,3,14,0,1,0,17,0,13,12,45,34,18,14,3,0,0,48,2,0,36,27,1,13,22,80,0,3,56,83
281,Andhra Pradesh,2009,01. Rape,849,26,965,4,118,84,991,0,730,617,2406,2412,1188,965,967,0,0,3377,1278,2,1487,1302,182,610,775,2804,20,1460,2964,4266
282,Arunachal Pradesh,2009,01. Rape,2,12,46,0,3,0,58,0,29,28,483,442,59,46,5,0,0,488,2,0,60,51,3,13,16,562,6,5,516,567
283,Assam,2009,01. Rape,371,248,1004,47,128,119,1252,6,2343,2089,4225,3767,1631,1004,499,0,0,4771,408,32,1644,1040,235,1559,1701,4201,462,643,3836,4876
284,Bihar,2009,01. Rape,560,170,763,2,178,169,933,0,1118,1291,3621,3598,929,763,738,0,0,4361,1031,0,1086,1043,237,1200,1144,5721,99,1268,5946,6989
285,Chandigarh,2009,01. Rape,12,1,17,0,16,1,18,0,17,7,48,59,29,17,28,0,0,76,19,0,38,25,26,7,19,68,1,45,88,113
286,Chhattisgarh,2009,01. Rape,612,10,982,1,219,23,992,0,95,134,3545,3395,976,982,831,0,0,4377,577,45,1128,1117,243,103,109,4653,5,820,4401,5518
287,Dadra & Nagar Haveli,2009,01. Rape,1,0,4,0,1,0,4,0,5,5,13,11,4,4,2,0,0,15,1,0,5,5,1,3,3,15,0,2,12,17
288,Daman & Diu,2009,01. Rape,0,1,1,0,0,0,2,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,5,0,0,4,5
289,Delhi,2009,01. Rape,198,22,440,0,178,8,462,2,65,69,1368,1304,469,440,376,0,1,1744,249,0,557,615,195,307,242,2254,7,444,2083,2698
290,Goa,2009,01. Rape,18,4,24,0,7,0,28,0,48,29,61,62,47,24,25,0,0,86,20,0,56,41,7,45,56,98,4,27,84,125
291,Gujarat,2009,01. Rape,150,21,377,2,33,5,398,2,82,54,2540,2348,433,377,183,0,0,2725,244,2,610,597,44,53,66,4451,0,288,4144,4741
292,Haryana,2009,01. Rape,350,8,525,0,125,70,533,0,89,89,889,839,603,525,475,0,0,1364,492,0,848,832,230,90,106,1412,0,722,1302,2134
293,Himachal Pradesh,2009,01. Rape,89,2,176,0,29,25,178,0,56,76,446,388,183,176,118,0,0,564,125,0,250,260,40,72,57,728,5,165,633,893
294,Jammu & Kashmir,2009,01. Rape,194,7,196,6,12,52,203,0,84,102,961,977,237,196,206,0,0,1173,266,12,303,301,12,2,4,1449,0,278,1438,1739
295,Jharkhand,2009,01. Rape,428,49,687,23,294,46,736,0,682,745,1595,1653,719,687,722,0,0,2340,508,12,765,764,341,427,418,1267,10,849,1364,2128
296,Karnataka,2009,01. Rape,309,37,401,10,33,15,438,7,172,123,1170,1121,509,401,342,0,0,1522,468,1,595,567,48,142,148,1522,22,516,1472,2039
297,Kerala,2009,01. Rape,283,18,615,1,53,19,633,0,482,566,3427,3149,568,615,336,0,0,3764,329,1,694,751,57,544,487,4230,0,386,3866,4617
298,Lakshadweep,2009,01. Rape,0,1,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3
299,Madhya Pradesh,2009,01. Rape,1716,34,2951,8,562,37,2985,0,223,247,7797,7132,2998,2951,2278,0,0,10083,2536,15,4243,4221,854,96,118,11528,0,3390,10712,14933
300,Maharashtra,2009,01. Rape,771,41,1433,4,182,25,1474,0,515,531,11855,11379,1483,1433,953,0,0,12812,1136,10,2075,2076,225,796,782,17466,13,1361,16761,18837
301,Manipur,2009,01. Rape,0,7,5,0,0,0,12,0,146,127,62,57,31,5,0,0,0,62,0,0,22,7,0,34,40,84,9,0,77,84
302,Meghalaya,2009,01. Rape,16,27,67,0,7,0,94,0,249,231,414,370,112,67,23,0,0,437,18,0,110,96,7,185,189,494,10,25,423,519
303,Mizoram,2009,01. Rape,8,3,86,0,58,0,89,0,15,21,90,70,83,86,66,0,0,156,21,0,81,117,53,61,25,94,0,74,51,168
304,Nagaland,2009,01. Rape,1,2,25,0,10,0,27,0,2,7,36,22,22,25,11,0,0,47,1,0,27,29,16,9,5,47,2,17,35,64
305,Odisha,2009,01. Rape,527,8,834,0,146,28,842,1,930,778,3679,3518,1023,834,673,0,0,4352,641,0,1119,1100,183,103,122,4712,0,824,4436,5536
306,Puducherry,2009,01. Rape,2,0,8,0,4,1,8,0,2,10,32,30,1,8,6,0,0,38,2,0,1,8,4,12,4,40,1,6,38,46
307,Punjab,2009,01. Rape,307,52,440,0,158,49,492,0,148,178,498,523,511,440,465,0,0,963,429,0,681,631,234,402,411,765,41,663,797,1428
308,Rajasthan,2009,01. Rape,385,13,967,14,221,518,980,0,140,119,2530,2183,1519,967,606,0,0,3150,545,23,1388,1387,296,12,13,4704,0,841,4181,5568
309,Sikkim,2009,01. Rape,12,0,19,1,5,0,19,0,16,17,58,57,18,19,17,0,0,76,12,1,19,19,5,10,10,56,0,17,55,74
310,Tamil Nadu,2009,01. Rape,315,20,515,7,91,25,535,0,439,403,1443,1341,596,515,406,0,0,1856,439,0,776,776,111,495,482,1897,13,550,1671,2447
311,Tripura,2009,01. Rape,72,10,169,2,24,0,179,0,74,63,579,508,190,169,96,0,0,677,144,4,336,169,24,24,97,215,94,168,218,387
312,Uttar Pradesh,2009,01. Rape,730,116,1312,0,623,341,1428,0,98,108,4366,4407,1759,1312,1353,0,0,5719,1381,0,2918,2168,1187,192,168,7023,774,2568,7423,9591
313,Uttarakhand,2009,01. Rape,45,7,98,0,49,15,105,0,4,13,239,235,111,98,94,0,0,333,116,0,138,146,83,14,4,415,2,199,468,614
314,West Bengal,2009,01. Rape,731,108,1572,2,130,4,1680,0,2108,1456,10518,9809,2336,1572,861,0,0,11381,1088,38,1748,1707,132,1099,1095,11336,45,1220,10887,12594
315,Andaman & Nicobar Islands,2010,01. Rape,0,0,20,0,0,0,20,0,17,13,65,45,24,20,0,0,0,65,0,0,39,28,0,22,33,108,0,0,80,108
316,Andhra Pradesh,2010,01. Rape,890,22,1210,6,141,89,1232,3,768,730,2579,2406,1362,1210,1031,0,0,3616,1134,19,1761,1674,173,775,808,3152,54,1307,2804,4478
317,Arunachal Pradesh,2010,01. Rape,2,6,34,2,4,0,40,0,36,29,509,483,47,34,6,0,0,517,2,2,49,40,4,16,20,594,5,6,562,602
318,Assam,2010,01. Rape,431,282,1110,44,95,115,1392,32,2525,2343,4765,4225,1721,1110,526,0,0,5335,532,78,1629,1153,117,1701,1716,4627,461,649,4201,5354
319,Bihar,2010,01. Rape,646,154,533,0,227,100,687,0,1126,1118,3281,3621,795,533,873,0,0,4154,1188,0,892,816,280,1144,1126,5069,94,1468,5721,6537
320,Chandigarh,2010,01. Rape,17,1,29,0,14,6,30,0,12,17,46,48,31,29,31,0,0,77,24,0,44,38,16,19,16,66,9,40,68,106
321,Chhattisgarh,2010,01. Rape,621,18,942,2,204,16,960,0,131,95,3660,3545,1012,942,825,0,0,4487,762,2,1198,1203,270,109,92,4822,12,1032,4653,5856
322,Dadra & Nagar Haveli,2010,01. Rape,2,0,4,0,2,0,4,0,4,5,13,13,3,4,4,0,0,17,2,0,3,4,2,3,2,15,0,4,15,19
323,Daman & Diu,2010,01. Rape,0,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,0,2,0,0,1,1,0,0,0,6,0,0,5,6
324,Delhi,2010,01. Rape,266,30,449,0,141,13,479,1,78,65,1410,1368,507,449,407,0,1,1817,331,0,602,532,201,242,301,2254,11,532,2254,2786
325,Goa,2010,01. Rape,22,2,44,0,5,2,46,0,36,48,78,61,36,44,27,0,0,105,25,0,50,62,7,56,42,128,2,32,98,160
326,Gujarat,2010,01. Rape,154,25,391,2,33,3,416,1,70,82,2742,2540,408,391,187,0,0,2931,255,2,617,620,40,66,63,4774,0,295,4451,5071
327,Haryana,2010,01. Rape,343,15,590,0,113,99,605,0,105,89,1023,889,720,590,456,0,0,1479,557,0,866,853,161,106,118,1547,1,718,1412,2265
328,Himachal Pradesh,2010,01. Rape,89,3,139,1,21,25,142,0,49,56,474,446,160,139,110,0,0,585,146,1,197,204,38,57,49,747,1,184,728,932
329,Jammu & Kashmir,2010,01. Rape,140,1,177,1,3,55,178,0,96,84,994,961,245,177,143,0,0,1138,205,2,266,259,5,4,11,1496,0,210,1449,1708
330,Jharkhand,2010,01. Rape,425,69,705,17,171,60,774,0,621,682,1687,1595,773,705,596,0,0,2300,482,13,836,911,194,418,343,1489,0,676,1267,2178
331,Karnataka,2010,01. Rape,296,28,512,1,54,16,540,3,199,172,1331,1170,586,512,350,0,0,1682,497,24,771,703,82,148,166,1622,50,579,1522,2225
332,Kerala,2010,01. Rape,211,18,644,0,45,18,662,1,435,482,3815,3427,634,644,256,0,0,4071,281,0,659,779,52,487,367,4676,0,333,4230,5009
333,Lakshadweep,2010,01. Rape,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,3
334,Madhya Pradesh,2010,01. Rape,1974,36,3089,27,777,34,3125,0,199,223,8108,7797,3135,3089,2751,0,0,10886,2710,31,4387,4407,1230,118,77,11964,21,3940,11528,15935
335,Maharashtra,2010,01. Rape,902,29,1458,11,146,20,1487,1,606,515,12254,11855,1599,1458,1048,0,0,13313,1243,12,2180,2145,202,782,801,18154,16,1445,17466,19611
336,Manipur,2010,01. Rape,2,11,4,0,1,0,15,0,165,146,63,62,34,4,3,0,0,66,6,0,22,5,1,40,47,82,10,7,84,89
337,Meghalaya,2010,01. Rape,5,11,80,2,4,1,91,0,306,249,483,414,149,80,9,0,0,494,10,2,135,73,4,189,233,551,18,14,494,567
338,Mizoram,2010,01. Rape,3,0,94,0,84,0,94,0,13,15,97,90,92,94,87,0,0,184,3,0,112,125,123,25,12,93,0,126,94,219
339,Nagaland,2010,01. Rape,5,1,13,0,14,0,14,0,4,2,30,36,16,13,19,0,0,49,5,0,17,19,12,5,3,49,0,17,47,66
340,Odisha,2010,01. Rape,534,19,1126,0,132,63,1145,1,746,930,4139,3679,1025,1126,666,0,0,4805,855,0,1363,1369,188,122,116,5038,0,1043,4712,6081
341,Puducherry,2010,01. Rape,0,0,2,0,1,0,2,0,3,2,33,32,3,2,1,0,0,34,0,0,5,2,1,4,7,41,0,1,40,42
342,Punjab,2010,01. Rape,324,31,438,0,166,62,469,0,208,193,457,509,546,438,490,0,0,947,469,0,766,654,244,366,417,697,61,713,756,1410
343,Rajasthan,2010,01. Rape,454,11,972,16,202,550,983,0,178,140,2830,2530,1571,972,656,0,0,3502,663,22,1343,1355,298,13,0,5076,1,961,4704,6059
344,Sikkim,2010,01. Rape,1,0,31,0,2,0,31,0,3,16,86,58,18,31,3,0,0,89,2,0,21,30,1,10,1,83,0,3,56,86
